,MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT,YEAR
0,01,Ancillary FFS,UNKNOWN,F,128438,2018
1,01,Ancillary FFS,UNKNOWN,H,66624,2018
2,01,Ancillary FFS,UNKNOWN,O,118108,2018
3,01,Ancillary FFS,UNKNOWN,W,1073,2018
4,01,Ancillary FFS,OTHER SPECIALITY,W,604,2018
5,01,Ancillary FFS,ADVANCED REGISTERED NURSE PRACTICE,UN,0,2018
6,01,Ancillary FFS,ADVANCED RN PRACT,CA,1772,2018
7,01,Ancillary FFS,AMBULANCE,CA,446698,2018
8,01,Ancillary FFS,AMBULANCE,CO,51664,2018
9,01,Ancillary FFS,AMBULANCE,F,1083232,2018
10,01,Ancillary FFS,AMBULANCE,H,216194,2018
11,01,Ancillary FFS,AMBULANCE,O,180013,2018
12,01,Ancillary FFS,AMBULANCE,S,30712,2018
13,01,Ancillary FFS,AMBULANCE,W,64292,2018
14,01,Ancillary FFS,AMBULANCE,B,1623,2018
15,01,Ancillary FFS,AMBULANCE SURGICAL CENTER,W,8847,2018
16,01,Ancillary FFS,AMBULANCE TRANSFU SERVICE,UN,6492,2018
17,01,Ancillary FFS,ANATOM,W,290,2018
18,01,Ancillary FFS,ANESTHESIA,F,2152,2018
19,01,Ancillary FFS,ARNP,CA,3340,2018
20,01,Ancillary FFS,BEHAVIOR HEALTH COUNSELING,W,257,2018
21,01,Ancillary FFS,CARD ELECTROPHY,CA,180,2018
22,01,Ancillary FFS,CARDIAC,W,1019,2018
23,01,Ancillary FFS,CARDIAC,CA,786,2018
24,01,Ancillary FFS,CARDIAC,F,96352,2018
25,01,Ancillary FFS,CARDIAC,O,32068,2018
26,01,Ancillary FFS,CARDIAC,UN,-1000,2018
27,01,Ancillary FFS,CARDIAC,W,1499,2018
28,01,Ancillary FFS,CARDIAC,B,0,2018
29,01,Ancillary FFS,CARDIAC,S,145,2018
30,01,Ancillary FFS,CARDIAC,CA,3028,2018
